id,name,isdone,spotifyid
966690,Metro Boomin,True,0iEtIxbK0KxaSlF7G42ZOp
353670,DJ Khaled,True,0QHgL1lAIqAw0HtD7YldmP
871338,Clean Bandit,True,6MDME20pz9RveH9rEXvrOM
964089,Zara Larsson,True,1Xylc3o4UrD53lo9CvFvVg
796562,Frank Ocean,True,2h93pZq0e7k5yf4dywlkpM
510,Green Day,True,7oPftvlwr6VrsViSDV7fJY
232732,Bob Marley & The Wailers,True,2QsynagSdAqZj3U9HgDzjD
1737262,Anne-Marie,True,
959374,Bebe Rexha,True,64M6ah0SkkRsnPGtGiRAbb
3113,Enrique Iglesias,True,7qG3b048QCHVRO5Pv1T5lw
191988,Tiësto,True,2o5jDhtHVPhrJdv3cEQ99Z
1489317,Lewis Capaldi,True,4GNC7GD6oZMSxPGyXy4MNB
191,Pink Floyd,True,0k17h0D3J5VfsdmQ1iZtE9
1318,Luis Miguel,True,
1116073,blackbear,True,2cFrymmkijnjDg9SS92EPM
1239664,Gunna,True,2hlmm7s2ICUX0LVIhVFlZQ
53808,Luis Fonsi,True,4V8Sr092TqfHkfAA5fXXqG
10910,Black Eyed Peas,True,1yxSLGMDHlW21z4YXirZDS
459158,Flo Rida,True,0jnsk9HBra6NMjO2oANoPY
1258878,Ty Dolla $ign,True,2hED6gNVoqGvmmX8i5dRoj
825,The Rolling Stones,True,22bE4uQ6baNwSHPVcDxLCe
54,Nirvana,True,6olE6TJLqED3rqDCT0FyPh
236,Elton John,True,3PhoLpVuITZKcymswpck5b
77944,Michael Bublé,True,1GxkXlMwML1oSg5eLPiAz3
167,JAY‐Z,True,3nFkdlSjzX9mRTtwJOzDYB
1480487,YoungBoy Never Broke Again,True,7wlFDEWiM5OoIAt8RSli8b
1798194,Lil Nas X,True,7jVv8c5Fj3E9VhNjxT4snq
1317190,Jonas Blue,True,1HBjj22wzbscIZ9sEb5dyf
1396704,BLACKPINK,True,41MozSoPIsD1dJM0CLPjZF
767971,"Tyler, the Creator",True,4V8LLVI7PbaPR0K2TGSxFF
1014605,Russ,True,1z7b1Pr1rSlvWRzsW3HOrS
1440,Guns N’ Roses,True,3qm84nBOXUEQ2vnTfUTTFC
299,Fleetwood Mac,True,08GQAI4eElDnROBrJRGE0X
812889,Bastille,True,7EQ0qTo7fWT7DPxmxtSYEc
791,Britney Spears,True,26dSoYclwsYLMAKD3tpOr4
830986,Machine Gun Kelly,True,6TIYQ3jFPwQSRmorSezPxX
680671,Childish Gambino,True,73sIBHcqh3Z3NyqHKZ7FOL
450754,Big Sean,True,0c173mlxpT3dSFRgMO8XPh
997433,SZA,True,7tYKF4w9nC0nq9CsPZTHyP
1241665,Alessia Cara,True,2wUjUUtkb5lvLKcGKsKqsR
998962,Anitta,True,7FNnA9vBm6EKceENgCGRMb
248354,Reik,True,0vR2qb8m9WHeZ5ByCbimq2
1752904,Olivia Rodrigo,True,1McMsnEElThX1knmY4oliG
638546,Skrillex,True,5he5w2lnU9x7JFhnwcekXX
988860,Lorde,True,163tK9Wjr9P9DmM0AVK7lm
11553,Usher,True,23zg3TcAtWQy7J6upgbUnj
1242195,$uicideboy$,True,1VPmR4DJC1PlOtd0IADAO0
956,David Bowie,True,0oSGxfWSnnOXhD2fKuz2Gy
541578,Kid Cudi,True,0fA0VVWsXO9YnASrzqfmYu
20544,50 Cent,True,3q7HBObVc0L8jNeTe5Gofh
22532,Gorillaz,True,3AA28KZvwAUcZuOKwyblJQ
1069478,Hozier,True,2FXC3k01G6Gw61bmprjgqS
757263,French Montana,True,6vXTefBL93Dj5IqAWq6OTv
771929,Camilo,True,28gNT5KBp7IjEOQoevXf9N
899493,Becky G,True,4obzFoKoKRHIphyHzJ35G3
898962,Tory Lanez,True,2jku7tDXc6XoB6MO2hFuqg
146720,The Killers,True,0C0XlULifJtAgn6ZNCW2eu
831916,Banda Sinaloense MS de Sergio Lizárraga,True,2C6i0I5RiGzDKN9IAF8reh
176,Foo Fighters,True,7jy3rLJdDQY21OgRLCZ9sD
241,blink‐182,True,6FBDaR13swtiWwGhX1WQsP
111,Mariah Carey,True,4iHNK0tOyZPYnBU7nGAgpQ
824188,Meek Mill,True,20sxb77xiYeusSH8cVdatc
501,Daft Punk,True,4tZwfgrHOc3mvqYlEYSvVi
197,U2,True,51Blml2LZPmy7TTiAg47vQ
176938,John Legend,True,5y2Xq6xcjJb2jVM54GHK3t
1140624,Rae Sremmurd,True,7iZtZyCzp3LItcw1wtPI3D
1131760,Meghan Trainor,True,6JL8zeS1NmiOftqZTRgdTz
388,Led Zeppelin,True,36QJpDe2go2KgaRleHCDTp
1603703,6ix9ine,True,7gZfnEnfiaHzxARJ2LeXrf
866593,Rita Ora,True,5CCwRZC6euC8Odo6y9X8jr
255180,Gucci Mane,True,13y7CgLHjMVRMDqxdx0Xdo
567175,Mumford & Sons,True,3gd8FJtBJtkRxdfbTu19U2
923313,The 1975,True,3mIj9lX2MWuHmhNCA7LSCW
1385354,Luke Combs,True,718COspgdWOnwOFpJHRZHS
1309563,Marília Mendonça,True,1yR65psqiazQpeM79CcGh8
1674209,Ava Max,True,4npEfmQ6YuiwW1GpUmaq3F
24227,Jack Johnson,True,3GBPw9NK25X1Wt2OUvOwY3
1533678,Manuel Turizo,True,0tmwSHipWxN12fsoLcFU3B
1744675,Roddy Ricch,True,757aE44tKEUQEqRuT6GnEB
9698,System of a Down,True,5eAWCfyUhZtHHtBdNk56l1
66,Radiohead,True,4Z8W4fKeB5YxbusRsdQVPb
1180312,Swae Lee,True,1zNqQNIdeOUZHb8zbZRFMX
1129211,Hailee Steinfeld,True,5p7f24Rk5HkUZsaS3BLG5F
2591,Muse,True,12Chz98pHFMPJEknJQMWvI
1279618,Bazzi,True,6koq8mqwuJbmpgmIRTwgOS
12640,The Notorious B.I.G.,True,5me0Irg2ANcsgc93uaYrpb
920582,The Neighbourhood,True,77SW9BnxLY8rJ0RciFqkHh
1539,Elvis Presley,True,43ZHCT0cAZBISjO8DG9PnE
177,Snoop Dogg,True,7hJcb9fa4alzcOq3EaNPoG
1085292,Jess Glynne,True,4ScCswdRlyA23odg9thgIO
1088095,Felix Jaehn,True,4bL2B6hmLlMWnUEZnorEtG
101,Frank Sinatra,True,1Mxqyy3pSjf8kZZL4QVxS0
1819344,Polo G,True,6AgTAQt8XS6jRWi4sX7w49
1424271,Joji,True,3MZsBdqDrRTJihTHQrO6Dq
1010888,Julia Michaels,True,0ZED1XzwlLHW4ZaG4lOT6m
273945,Paramore,True,74XFHRwlV6OrjEM0A2NCMF
