id,name,isdone,spotifyid,genres,popularity,followers
680671,Childish Gambino,True,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'pop', 'rap']",81.0,8922872.0
450754,Big Sean,True,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",84.0,9340718.0
997433,SZA,True,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b']",88.0,7284303.0
1241665,Alessia Cara,True,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",80.0,9999665.0
998962,Anitta,True,7FNnA9vBm6EKceENgCGRMb,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",83.0,11210635.0
248354,Reik,True,0vR2qb8m9WHeZ5ByCbimq2,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",83.0,6918260.0
1752904,Olivia Rodrigo,True,1McMsnEElThX1knmY4oliG,['pop'],90.0,14317065.0
638546,Skrillex,True,5he5w2lnU9x7JFhnwcekXX,"['brostep', 'complextro', 'edm', 'electro', 'pop rap']",81.0,7976707.0
988860,Lorde,True,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",81.0,9085687.0
11553,Usher,True,23zg3TcAtWQy7J6upgbUnj,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",83.0,9483786.0
1242195,$uicideboy$,True,1VPmR4DJC1PlOtd0IADAO0,"['dark trap', 'new orleans rap', 'underground hip hop']",87.0,4239048.0
956,David Bowie,True,0oSGxfWSnnOXhD2fKuz2Gy,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",81.0,7848548.0
541578,Kid Cudi,True,0fA0VVWsXO9YnASrzqfmYu,"['hip hop', 'ohio hip hop', 'rap']",86.0,5592126.0
20544,50 Cent,True,3q7HBObVc0L8jNeTe5Gofh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",86.0,8547221.0
22532,Gorillaz,True,3AA28KZvwAUcZuOKwyblJQ,['alternative hip hop'],82.0,8321133.0
1069478,Hozier,True,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'pop']",82.0,5062936.0
757263,French Montana,True,6vXTefBL93Dj5IqAWq6OTv,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80.0,4359902.0
771929,Camilo,True,28gNT5KBp7IjEOQoevXf9N,"['colombian pop', 'reggaeton colombiano']",85.0,14167171.0
899493,Becky G,True,4obzFoKoKRHIphyHzJ35G3,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",85.0,11028287.0
